character
⺀
⺈
⺊
⺌
⺍
⺗
⺮
⺳
⺼
㐆
㐌
㐬
㐭
㐱
㒸
㒼
㓞
㔾
㕡
㝵
㠯
㡭
㢆
㢟
㣎
㥯
㧜
㬎
㲋
㳄
㼌
㿽
䍃
䕭
䙴
䜌
䠀
䧹
䰾
䴉
一
丁
丂
七
丄
万
丈
三
上
下
丌
不
与
丏
丐
丑
专
且
丕
世
丘
丙
业
丛
东
丝
丞
丟
丢
两
严
並
丧
丨
丩
个
丫
丬
中
丰
丱
串
临
丵
丶
丷
丸
丹
为
主
丽
举
丿
乂
乃
久
乇
么
义
之
乌
乍
乎
乏
乐
乑
乒
乓
乔
乖
乘
乙
乚
乛
乜
九
乞
也
习
乡
书
乩
买
乱
乳
乶
乹
乾
乿
亂
亅
了
予
争
事
二
亍
于
亏
云
互
亓
五
井
亘
亙
亚
些
亞
亟
亠
亡
亢
交
亥
亦
产
亨
亩
享
京
亭
亮
亲
亳
亵
亶
亹
人
亻
亼
亾
亿
什
仁
仂
仃
仄
仅
仆
仇
仉
今
介
仌
仍
从
仑
仓
仔
仕
他
仗
付
仙
仝
仞
仟
仡
代
令
以
仨
仪
仫
们
仰
仲
仳
仵
件
价
任
份
仿
企
伄
伉
伊
伍
伎
伏
伐
休
伕
众
优
伙
会
伛
伞
伟
传
伢
伤
伥
伦
伧
伪
伫
伯
估
伲
伴
伶
伸
伺
似
伽
伾
佃
但
佇
佈
佉
位
低
住
佐
佑
体
佔
何
佗
佘
余
佚
佛
作
佝
佞
佟
你
佣
佤
佥
佧
佩
佬
佯
佰
佳
佴
併
佶
佻
佼
佽
佾
使
侃
侄
來
侈
侉
例
侌
侍
侏
侑
侔
侖
侗
供
依
侠
侣
侥
侦
侧
侨
侩
侪
侬
侮
侯
侵
侶
侷
便
係
促
俄
俅
俉
俊
俎
俏
俐
俑
俗
俘
俚
俛
俜
保
俞
俟
俠
信
俣
俦
俨
俩
俪
俭
修
俯
俱
俳
俸
俺
俾
倀
倆
倉
個
倌
倍
倏
們
倒
倔
倖
倘
候
倚
倜
倝
倞
借
倠
倡
倥
倦
倨
倩
倪
倫
倬
倭
倮
债
倻
值
倾
偃
假
偈
偉
偌
偎
偏
偕
做
停
健
偬
側
偵
偶
偷
偻
偽
偾
偿
傀
傅
傈
傍
傑
傕
傖
傘
備
傚
傢
傣
傥
傧
储
傩
催
傭
傯
傲
傳
債
傷
傺
傻
傾
傿
僂
僅
僉
像
僑
僕
僖
僚
僥
僦
僧
僬
僭
僮
僱
僳
僵
價
僻
儀
儂
億
儅
儆
儇
儈
儉
儋
儒
儕
儘
償
儡
優
儲
儷
儸
儺
儻
儼
儿
兀
允
元
兄
充
兆
兇
先
光
克
兌
免
兑
兒
兓
兔
兕
兖
兗
党
兜
兟
兢
入
內
全
兩
八
公
六
兮
兰
共
关
兴
兵
其
具
典
兹
养
兼
兽
冀
冁
冂
内
円
冈
冉
冊
冋
册
再
冎
冏
冑
冒
冓
冕
冖
冗
冘
写
军
农
冝
冠
冡
冢
冣
冤
冥
冪
冫
冬
冯
冰
冱
冲
决
况
冶
冷
冻
冼
冽
净
凄
准
凇
凈
凉
凋
凌
凍
